# b_parallel b_perpendicular x y z 
0.000000000000000000e+00 4.000000000000000000e+02 1.603439999999999865e-01 8.327269999999999950e-01 5.299580000000000402e-01
0.000000000000000000e+00 4.000000000000000000e+02 -1.387629999999999975e-01 -5.577379999999999560e-01 8.183359999999999523e-01
0.000000000000000000e+00 4.000000000000000000e+02 -4.645920000000000050e-01 1.173369999999999969e-01 8.777169999999999694e-01
0.000000000000000000e+00 4.000000000000000000e+02 -1.624829999999999885e-01 3.929779999999999940e-01 9.050789999999999669e-01
0.000000000000000000e+00 4.000000000000000000e+02 1.840410000000000101e-01 2.701779999999999737e-01 9.450570000000000359e-01
0.000000000000000000e+00 4.000000000000000000e+02 -3.274380000000000068e-01 4.360069999999999779e-01 -8.382610000000000339e-01
0.000000000000000000e+00 4.000000000000000000e+02 7.403499999999999526e-01 -2.237089999999999912e-01 -6.339059999999999695e-01
0.000000000000000000e+00 4.000000000000000000e+02 7.768779999999999575e-01 -6.249259999999999815e-01 -7.699400000000000688e-02
0.000000000000000000e+00 4.000000000000000000e+02 -4.919299999999999784e-01 -8.698709999999999498e-01 3.644900000000000223e-02
0.000000000000000000e+00 4.000000000000000000e+02 7.488979999999999526e-01 -5.960870000000000335e-01 2.895369999999999888e-01
0.000000000000000000e+00 4.000000000000000000e+02 4.817330000000000223e-01 -4.628769999999999829e-01 -7.440959999999999797e-01
0.000000000000000000e+00 4.000000000000000000e+02 4.737219999999999764e-01 5.389549999999999619e-01 -6.965019999999999545e-01
0.000000000000000000e+00 4.000000000000000000e+02 1.533849999999999936e-01 -7.108510000000000106e-01 6.864139999999999686e-01
0.000000000000000000e+00 4.000000000000000000e+02 9.970860000000000278e-01 -7.531999999999999633e-03 -7.591100000000000625e-02
0.000000000000000000e+00 4.000000000000000000e+02 -1.889220000000000066e-01 -8.119359999999999911e-01 5.523299999999999876e-01
0.000000000000000000e+00 4.000000000000000000e+02 -7.894240000000000146e-01 -7.857200000000000295e-02 -6.087989999999999791e-01
0.000000000000000000e+00 4.000000000000000000e+02 -2.560399999999999829e-02 2.836650000000000005e-01 -9.585810000000000164e-01
0.000000000000000000e+00 4.000000000000000000e+02 8.902259999999999618e-01 4.731799999999999895e-02 -4.530540000000000123e-01
0.000000000000000000e+00 4.000000000000000000e+02 -7.593550000000000022e-01 -6.334969999999999768e-01 1.485269999999999924e-01
0.000000000000000000e+00 4.000000000000000000e+02 1.138679999999999970e-01 -4.243500000000000050e-02 -9.925890000000000546e-01
0.000000000000000000e+00 4.000000000000000000e+02 1.223660000000000025e-01 -6.913650000000000073e-01 -7.120689999999999520e-01
0.000000000000000000e+00 4.000000000000000000e+02 -1.843710000000000071e-01 -9.587599999999999456e-01 2.162999999999999923e-01
0.000000000000000000e+00 4.000000000000000000e+02 7.841390000000000304e-01 3.962919999999999776e-01 4.775760000000000005e-01
0.000000000000000000e+00 4.000000000000000000e+02 -9.109150000000000302e-01 3.009430000000000160e-01 2.822549999999999781e-01
0.000000000000000000e+00 4.000000000000000000e+02 -6.181759999999999478e-01 4.689909999999999912e-01 -6.307979999999999698e-01
0.000000000000000000e+00 4.000000000000000000e+02 7.095160000000000355e-01 -5.553670000000000551e-01 -4.337690000000000157e-01
0.000000000000000000e+00 4.000000000000000000e+02 -5.240160000000000373e-01 -6.012809999999999544e-01 -6.032149999999999457e-01
0.000000000000000000e+00 4.000000000000000000e+02 5.120540000000000092e-01 7.625420000000000531e-01 -3.953860000000000152e-01
0.000000000000000000e+00 4.000000000000000000e+02 -1.823490000000000111e-01 9.831680000000000419e-01 -1.137799999999999923e-02
0.000000000000000000e+00 4.000000000000000000e+02 6.689500000000000446e-01 1.650800000000000045e-01 -7.247440000000000548e-01
6.666666666666666288e+02 6.666666666666666288e+02 5.103579999999999783e-01 -3.873800000000000160e-02 -8.590889999999999915e-01
6.666666666666666288e+02 6.666666666666666288e+02 -1.707559999999999911e-01 -2.641580000000000039e-01 9.492429999999999479e-01
6.666666666666666288e+02 6.666666666666666288e+02 9.840769999999999795e-01 5.107400000000000134e-02 -1.702440000000000064e-01
